Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120542-55335,TE,David,David Njoku,Njoku,5.599999904632568,2,5500,GB@CLE,CLE,GB,,,,,,TE/FLEX
120542-64555,WR,Calvin,Calvin Ridley,Ridley,5.949999809265137,2,5500,IND@TEN,TEN,IND,,,,,,WR/FLEX
120542-87432,WR,Cedric,Cedric Tillman,Tillman,11.449999809265137,2,5500,GB@CLE,CLE,GB,,,,,,WR/FLEX
120542-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,7.949999809265137,2,5500,LV@WAS,WAS,LV,,,,,,RB/FLEX
120542-39716,WR,Adam,Adam Thielen,Thielen,2.799999952316284,2,5500,CIN@MIN,MIN,CIN,,,,,,WR/FLEX
120542-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,7.550000190734863,2,5400,ATL@CAR,ATL,CAR,,,,,,TE/FLEX
120542-103619,WR,Tre,Tre Tucker,Tucker,7.900000095367432,2,5400,LV@WAS,LV,WAS,,,,,,WR/FLEX
120542-129305,WR,Josh,Josh Downs,Downs,5.150000095367432,2,5400,IND@TEN,IND,TEN,,,,,,WR/FLEX
120542-174486,RB,Dylan,Dylan Sampson,Sampson,11.350000381469727,2,5400,GB@CLE,CLE,GB,,,,,,RB/FLEX
120542-57986,WR,Hunter,Hunter Renfrow,Renfrow,11.199999809265137,2,5400,ATL@CAR,CAR,ATL,,,,,,WR/FLEX
120542-103376,RB,Zach,Zach Charbonnet,Charbonnet,5.849999904632568,2,5400,NO@SEA,SEA,NO,,,,,,RB/FLEX
120542-29780,TE,Zach,Zach Ertz,Ertz,12.75,2,5300,LV@WAS,WAS,LV,,,,,,TE/FLEX
120542-83074,TE,Dallas,Dallas Goedert,Goedert,7.900000095367432,1,5300,LAR@PHI,PHI,LAR,Q,Knee,,,,TE/FLEX
120542-86312,WR,Alec,Alec Pierce,Pierce,6.449999809265137,2,5300,IND@TEN,IND,TEN,,,,,,WR/FLEX
120542-90428,RB,Tyler,Tyler Allgeier,Allgeier,8.449999809265137,2,5300,ATL@CAR,ATL,CAR,,,,,,RB/FLEX
120542-90575,RB,Najee,Najee Harris,Harris,3.6500000953674316,2,5300,DEN@LAC,LAC,DEN,,,,,,RB/FLEX
120542-60957,WR,KaVontae,KaVontae Turpin,Turpin,8.5,2,5300,DAL@CHI,DAL,CHI,Q,Neck,,,,WR/FLEX
120542-119653,WR,Kayshon,Kayshon Boutte,Boutte,12.199999809265137,2,5300,PIT@NE,NE,PIT,,,,,,WR/FLEX
120542-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,6.550000190734863,2,5200,PIT@NE,NE,PIT,,,,,,RB/FLEX
120542-151903,WR,Troy,Troy Franklin,Franklin,13.199999809265137,2,5200,DEN@LAC,DEN,LAC,,,,,,WR/FLEX
120542-89680,TE,Jake,Jake Ferguson,Ferguson,8.550000190734863,2,5200,DAL@CHI,DAL,CHI,,,,,,TE/FLEX
120542-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,3.299999952316284,2,5200,ATL@CAR,ATL,CAR,,,,,,WR/FLEX
120542-172699,TE,Harold,Harold Fannin Jr.,Fannin Jr.,8.699999809265137,2,5200,GB@CLE,CLE,GB,,,,,,TE/FLEX
120542-137902,RB,Rachaad,Rachaad White,White,7.849999904632568,2,5200,NYJ@TB,TB,NYJ,,,,,,RB/FLEX
120542-90870,WR,Calvin,Calvin Austin III,Austin III,8.850000381469727,2,5200,PIT@NE,PIT,NE,,,,,,WR/FLEX
120542-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,7.75,2,5200,HOU@JAC,JAC,HOU,,,,,,RB/FLEX
120542-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,5.050000190734863,2,5100,DEN@LAC,DEN,LAC,,,,,,WR/FLEX
120542-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,3.299999952316284,2,5100,ARI@SF,SF,ARI,,,,,,RB/FLEX
120542-142042,RB,Trey,Trey Benson,Benson,7.199999809265137,2,5100,ARI@SF,ARI,SF,,,,,,RB/FLEX
120542-86811,TE,Cade,Cade Otton,Otton,2,2,5100,NYJ@TB,TB,NYJ,,,,,,TE/FLEX
120542-172861,WR,Elic,Elic Ayomanor,Ayomanor,7.949999809265137,2,5100,IND@TEN,TEN,IND,,,,,,WR/FLEX
